headline_main,pub_date,lead_paragraph,Compound_Score
Celebrity Crypto-Hawkers Should Get a Close Look,2022-12-17T14:00:05+0000,,0.0
"Even After FTX, S.E.C. Chair Sees No Need for New Crypto Laws",2022-12-22T20:03:56+0000,,-0.296
"In FTX Collapse, Binance Sees a Chance to Become the New Face of Crypto",2022-12-13T00:27:36+0000,,-0.296
Two Executives in Sam Bankman-Fried’s Crypto Empire Plead Guilty to Fraud,2022-12-22T01:58:42+0000,,-0.765
Inside the Frantic Texts Exchanged by Crypto Executives as FTX Collapsed,2022-12-09T06:04:36+0000,,-0.6124
The Crypto Industry Struggles for a Way Forward,2022-12-05T10:00:19+0000,,-0.3612
"Crypto Crashes, but the Awards Go On",2022-12-02T01:38:59+0000,,0.6124
Ordinary Investors Who Jumped Into Crypto Are Saying: Now What?,2022-12-05T18:33:36+0000,,0.0
BlackRock C.E.O. Discusses FTX Crypto Exchange Collapse,2022-11-30T17:52:11+0000,,-0.4939
How the Collapse of Sam Bankman-Fried’s Crypto Empire Has Disrupted A.I.,2022-12-01T10:00:43+0000,,-0.4939
Idle Crypto Is the Devil’s Workshop,2022-11-27T14:30:59+0000,,0.0
Crypto Lender BlockFi Files for Bankruptcy as FTX Fallout Spreads,2022-11-28T15:23:14+0000,,0.0
Sam Bankman-Fried’s Power Was Contingent on Belief,2022-12-28T10:00:04+0000,,0.0
U.S. Crypto Exchange Kraken Settles With Treasury Dept.,2022-11-28T19:01:22+0000,,0.2023
The 2022 Good Tech Awards,2022-12-29T10:00:19+0000,,0.7096
"In the Bahamas, a Lingering Sympathy for Sam Bankman-Fried",2022-12-26T18:45:28+0000,,0.3612
How Did Sam Bankman-Fried Make His $250 Million Bail?,2022-12-23T19:29:18+0000,,0.0
Alameda Executive Says She Is ‘Truly Sorry’ for Her Role in FTX Collapse,2022-12-23T23:14:34+0000,,-0.4939
Sam Bankman-Fried Released on $250 Million Bond With Restrictions,2022-12-22T18:52:29+0000,,0.0
Sam Bankman-Fried Is Set for Extradition to U.S.,2022-12-21T17:07:25+0000,,0.0
Sam Bankman-Fried Said to Be in Talks With Prosecutors Over Bail Deal,2022-12-21T02:07:08+0000,,0.0
FTX Founder Leaves Court in Handcuffs,2022-12-19T21:13:15+0000,,0.0
Sam Bankman-Fried Said to Agree to Extradition After Chaotic Hearing,2022-12-19T18:36:04+0000,,-0.1779
Sam Bankman-Fried Is Expected to Agree to Extradition to the U.S.,2022-12-18T00:49:46+0000,,0.3612
"Restaurateur, Political Donor, Tipster: The Many Roles of FTX’s Ryan Salame",2022-12-17T08:00:10+0000,,0.0
U.S. Scrutinizes Political Donations by Sam Bankman-Fried and Allies,2022-12-17T20:16:02+0000,,0.0
A Traditional Exchange? FTX Was Anything But.,2022-12-16T08:00:09+0000,,0.0
She Was a Little-Known Crypto Trader. Then FTX Collapsed.,2022-11-23T19:23:39+0000,,-0.2732
Prosecutor Announces Charges Against FTX Founder,2022-12-14T04:35:52+0000,,-0.2732
FTX Chief: Company Appeared to Use ‘Old-Fashioned Embezzlement’,2022-12-13T19:55:48+0000,,0.0
"FTX Used ‘Old-Fashioned Embezzlement,’ New Chief Says",2022-12-13T20:23:28+0000,,0.0
"Prosecutors Say FTX Was Engaged in a ‘Massive, Yearslong Fraud’",2022-12-13T16:02:43+0000,,0.4019
House Committee Vows to Find Answers Behind FTX Collapse,2022-12-13T16:54:08+0000,,-0.4939
Prosecutor in Bankman-Fried Case Made a Career of White-Collar Cases,2022-12-13T22:02:56+0000,,0.0
"Who is John J. Ray III, FTX’s new chief executive?",2022-12-13T15:13:07+0000,,0.0
FTX’s Sam Bankman-Fried Is Arrested in the Bahamas,2022-12-12T23:51:25+0000,,-0.4767
The Parents in the Middle of FTX’s Collapse,2022-12-13T01:01:58+0000,,-0.4939
Inside a Crypto Nemesis’ Campaign to Rein In the Industry,2022-11-21T08:00:13+0000,,0.0
"Genesis, the Troubled Crypto Lender, Hires a Restructuring Adviser",2022-11-22T19:33:09+0000,,-0.4588
New York Enacts 2-Year Ban on Some Crypto-Mining Operations,2022-11-23T00:21:25+0000,,-0.5574
Sam Bankman-Fried Agrees to Testify Before House Committee,2022-12-09T13:49:45+0000,,0.2023
Why the Crypto Collapse Matters,2022-11-17T11:36:30+0000,,-0.4767
FTX Founder Sam Bankman-Fried Is Said to Face Market Manipulation Inquiry,2022-12-08T00:24:19+0000,,-0.296
Crypto Firm FTX’s Ownership of a U.S. Bank Raises Questions,2022-11-23T20:03:19+0000,,0.0
The Man Who Was Supposed to Save Crypto,2022-11-18T11:00:10+0000,,0.4939
Is This the End Game for Crypto?,2022-11-18T00:00:08+0000,,0.0
Inside Sam Bankman-Fried’s Quest to Win Friends and Influence People,2022-11-22T19:32:26+0000,,0.7845
"Blockchains, What Are They Good For?",2022-12-02T00:00:09+0000,,0.4404
Sam Bankman-Fried Blames ‘Huge Management Failures’ for FTX Collapse,2022-11-30T23:44:45+0000,,-0.7096
Transcript of Sam Bankman-Fried’s Interview at the DealBook Summit,2022-12-01T06:30:33+0000,,0.0
Yellen Urges More Regulation of Cryptocurrencies after FTX Collapse,2022-11-30T15:32:19+0000,,-0.4939
‘No Cooperation’: How Sam Bankman-Fried Tried to Cling to FTX,2022-11-29T10:00:21+0000,,0.0
Here’s the Latest on the FTX Collapse,2022-11-28T20:09:43+0000,,-0.4939
The Crypto Ponzi Scheme Avenger,2022-11-11T10:00:21+0000,,0.0
Embattled Crypto Exchange FTX Files for Bankruptcy,2022-11-11T14:33:36+0000,,0.0
How FTX’s Sister Firm Brought the Crypto Exchange Down,2022-11-18T10:00:36+0000,,0.0
Is This Crypto’s Lehman Moment?,2022-11-09T19:58:27+0000,,0.0
Collapsed Crypto Exchange FTX Could Owe More Than 1 Million Creditors,2022-11-15T15:13:13+0000,,-0.2732
Why Did We Put So Much Faith in the Crypto Whiz Kid?,2022-11-15T10:00:06+0000,,0.4728
How Sam Bankman-Fried’s Crypto Empire Collapsed,2022-11-14T22:06:24+0000,,-0.2732
Crypto World Is Rocked as World’s Largest Exchange Rescues Rival,2022-11-08T16:42:03+0000,,0.3182
FTX Assets Still Missing as Firm Begins Bankruptcy Process,2022-11-22T17:42:19+0000,,-0.128
What Stage of Capitalism Is Sam Bankman-Fried?,2022-11-21T20:00:06+0000,,0.0
FTX Investigating Possible Hack Hours After Bankruptcy Filing,2022-11-12T14:31:05+0000,,0.0
What Is Next for the FTX Fallout?,2022-11-19T13:00:03+0000,,0.0
FTX Crypto Exchange Boss Says He Is Trying to Raise More Money,2022-11-10T15:52:14+0000,,0.0
"This Week, Billionaires Made a Strong Case for Abolishing Themselves",2022-11-19T14:23:57+0000,,0.5106
Binance Pulls Out of Deal to Acquire Rival Crypto Exchange FTX,2022-11-09T19:44:09+0000,,0.0
What Happens When Crypto Meets Ted Lasso,2022-11-06T10:00:24+0000,,0.0
New Chief Calls FTX’s Corporate Control a ‘Complete Failure’,2022-11-17T13:38:17+0000,,0.0
They Thought They Were Invisible. They Were Wrong.,2022-11-16T10:00:24+0000,,-0.4767
FTX’s In-House Performance Coach Is Just as Surprised as You Are,2022-11-15T22:18:54+0000,,0.2263
FTX’s Collapse Casts a Pall on a Philanthropy Movement,2022-11-14T00:00:21+0000,,-0.4939
FTX’s founder was called a modern-day J.P. Morgan. The analogy still works.,2022-11-12T13:00:03+0000,,0.0
"Investors Who Put $2 Billion Into FTX Face Scrutiny, Too",2022-11-11T19:39:17+0000,,0.0
FTX Spent Big on Sports Sponsorships. What Happens Now?,2022-11-11T00:29:07+0000,,0.0
Why Did FTX Collapse? Here’s What to Know.,2022-11-10T21:58:17+0000,,-0.4939
"For Many, Elon Musk’s Buying Twitter Is a Moment of Celebration",2022-10-28T17:00:14+0000,,0.0
U.S. Fines Crypto Exchange a Record $24 Million for Breaking Sanctions,2022-10-11T15:01:06+0000,,0.0
"Crypto Needs More Rules and Better Enforcement, Regulators Warn",2022-10-03T20:34:05+0000,,0.4144
"Binance Blockchain Hit by $570 Million Hack, Exposing Crypto Vulnerabilities",2022-10-07T16:40:16+0000,,-0.4019
The Crypto World Is on Edge After a String of Hacks,2022-09-28T09:00:37+0000,,0.0
Ethereum’s Founder on What Crypto Can — and Can’t — Do,2022-09-30T09:00:09+0000,,0.0
"C.E.O. of Celsius, the Crypto Bank, Resigns",2022-09-27T17:33:11+0000,,-0.3182
"On Portugal’s ‘Bitcoin Beach,’ Crypto Optimism Still Reigns",2022-09-28T07:00:14+0000,,0.5423
Kim Kardashian to Pay $1.26 Million to Settle S.E.C. Charges Over Crypto Promotion,2022-10-03T12:44:51+0000,,-0.3612
Interpol Issues ‘Red Notice’ for South Korean Crypto Founder Do Kwon,2022-09-26T11:04:03+0000,,0.0
Can ‘the Merge’ Save Crypto?,2022-09-15T13:00:14+0000,,0.4939
Crypto’s Long-Awaited ‘Merge’ Reaches the Finish Line,2022-09-15T07:09:46+0000,,0.0516
Celsius Network Plots a Comeback After a Crypto Crash,2022-09-13T16:29:28+0000,,-0.4019
Investors Sue Treasury Department for Blacklisting Crypto Platform,2022-09-08T13:36:15+0000,,0.2023
"C.E.O. of Kraken, the Cryptocurrency Exchange, Steps Down",2022-09-21T19:58:12+0000,,0.0
The Crypto World Can’t Wait for ‘the Merge’,2022-08-26T09:00:22+0000,,0.0
S.E.C. Chair Doubles Down on the Need to Regulate Cryptocurrencies,2022-09-09T14:28:45+0000,,0.0
Dissecting the Royal Family’s Wealth,2022-09-09T12:28:52+0000,,0.4939
"Crypto Is Tumbling, but in Argentina It’s Still a Safer Bet",2022-08-20T16:26:14+0000,,0.5719
They Lost Crypto in the Crash. They’re Trying to Get It Back.,2022-08-18T09:00:20+0000,,-0.6124
Watch Brands Keep the Crypto Faith,2022-08-10T09:06:03+0000,,0.4215
Treasury Dept. blacklists crypto platform used in money laundering.,2022-08-08T18:32:38+0000,,0.2023
What Is ‘the Merge’?,2022-08-26T09:00:17+0000,,0.0
The Hot New Market in Crypto? Trading FTX’s Carcass.,2023-12-20T10:03:17+0000,,0.0
The Power Vacuum at the Top of the Crypto Industry,2023-12-11T10:01:50+0000,,0.2023
Who Would Give This Guy Millions to Build His Own Utopia?,2023-12-12T17:13:10+0000,,0.0
Binance Founder Ordered to Remain in U.S. Before Sentencing,2023-12-08T05:14:53+0000,,-0.1531
Bitcoin Soars on Hopes of Investment Fund Approval,2023-12-05T14:23:58+0000,,0.7096
"Cryptocurrency Prices Surge, Driven by a Potential Bitcoin Fund",2023-11-16T15:12:41+0000,,0.0
U.S. Case Details Binance’s Knowledge About Criminal Users,2023-11-22T19:39:31+0000,,-0.5267
Justice Department Announces Binance’s Guilty Plea,2023-11-22T01:21:57+0000,,0.1531
Binance Founder Pleads Guilty to Violating Money Laundering Rules,2023-11-21T18:28:37+0000,,-0.743
Michael Lewis Tells His Own Story of Sam Bankman-Fried,2023-11-17T14:24:39+0000,,0.0
"For an N.B.A. Star, a Dream House Became a Nightmare",2023-11-15T21:50:47+0000,,0.25
Sam Bankman-Fried’s Wild Rise and Abrupt Crash,2023-11-03T00:21:01+0000,,-0.4019
"Sam Bankman-Fried Was a Grown Up Criminal, Not an Impulsive Man-Child",2023-11-03T07:00:14+0000,,-0.5267
